阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
"人人皆是天真佛，
晝夜六時常放光；
剃了眉毛觀自得，
何勞特地禮西方。"	"Innately buddha is every individual, 
Emitting light day and night; 
Shave your eyebrows and contemplate your own attainment,
Why prostrate towards the West?"
"人善人欺天不欺，
人惡人怕天不怕；
善惡到頭終有報，
只爭來早與來遲。"	"Heaven does not deceive kind hearts, only humans do.
Heaven does not fear villains, only humans do.
Karmic retributions, good or bad, are only eventual.
Sooner or later? It is the only difference."
人身難得　盲龜尋木	"Hard It Is to Obtain a Human Body; 
Like a blind turtle seeking wood in the great ocean."
人生路向前不必回頭	Road of Life: keep going, never turn back
人生如畫	Life is Like a Painting
"人生三重界
1) 參禪前，
    看山是山，看水是水；
2) 參禪中，
    看山不是山，看水不是水；
3) 悟道後，
    看山仍是山，看水仍是水。"	"Three Statuses of Mind
1) Before Chan, 
    a mountain is a mountain, water is water;
2) During Chan, 
    a mountain is no longer a mountain, water is no longer water;
3) After Chan and enlightenment, 
    a mountain is once again a mountain, and water once again water."
人死燈滅　可以重燃	"Death is an Extinguished Light; 
It can be rekindled."
人天福報　所想皆成	"Blessings of Heaven and Earth; 
Everything as one wishes."
人天眼滅　慧日西沉	"An End to the Divine and Human Eye; 
Wisdom waning like the setting sun."
人問吉祥	Auspiciousness in the World
人我和敬	Harmonious and Respectful Relations
人我和諧	Harmony Between Self and Others
人我無間	No Boundaries Between You and Me
人我一如	Unity Between Self and Others
人正心中	Have a Righteous Heart
人之常情　自然反應	"Human Nature; 
To react naturally."
人中獅子　才能出眾	"A Lion Among Humans; 
To have outstanding abilities."
任性逍遙　隨緣自在	"To Heed One's Nature Freely; 
Follow conditions with perfect ease."
任運騰騰　隨順自然	"Let Things Be; 
Let nature take its course."
日出人生	A Life Like the Rising Sun
日久歲深　時不我與	"As the Days Age into Years; 
Time will not wait for me."
日日好日	Everyday is a Good Day
日日吉祥	Everday is Auspicious
日日生息	Make a Steady Progress Everyday
日日是好日	Everyday is a Good Day
日日增上	Make Daily Improvements
日上三竿　時光不待	"The Sun Is Three Poles High; 
Time waits for no one."
日月光華	Brilliance of the Sun and Moon
日月心辰	The Sun and Moon of the Mind
日照人間	The Sun Shining on the World
融和共處	Coexisting in Harmony
融和無礙	Harmony Has No Obstructions
榕樹下緣份慈心為本	Under the Banyan Tree: affinities, compassion are the basis
柔軟心	A Soft and Gentle Heart
肉身不壞　全身舍利	"Indestructible Body; 
Whole-body relic."
肉身菩薩　金身不壞	"The Bodhisattva's Body; 
Golden and indestructible."
肉眼愚眉　見識淺陋	"Through the Naked Eyes of a Fool; 
Shallow knowledge."
入不二門	Enter the Gate of Non-Duality
入不退地	Enter the Ground of No Regression
入佛知見	Entering the View of the Buddha
入佛知見　與佛相應	"Entering the View of the Buddha; 
Resonating with the Buddha."
入海算沙　深廣難測	"Counting Sands in the Sea; 
Profound, boundless, and immeasurable."
入如來家	Enter the Home of the Tathagata
入如來智	Enter the Wisdom of the Tathagata
入三摩地	Enter Into Samadhi
入鄉隨俗　順應人情	"When in Rome, Do as the Romans Do; 
Adapt to local customs."
入主出奴　涇渭分明	"Masters and Slaves; 
To make a clear distinction."
如空能容	Like the All-Encompassing Emptiness
如來之家	Home of Tathagata
"如滿禪師偈
1) 佛從無為來，滅向無為去，
2) 法身等虛空，常住無心處。
3) 有念歸無念，有住歸無住。
4) 來為眾生來，去為眾生去。
5) 清淨真如海，湛然體常寂。
6) 智者善思維，更莫生疑慮。
7) 佛體本無為，迷情妄分別；
8) 法身等虛空，未曾有生滅。
9) 有緣佛出世，無緣佛入滅，
10) 處處化眾生，猶如水中月。
11) 非常亦非斷，非生亦非滅，
12) 生亦未曾生，滅亦未曾滅。
13) 了知無心處，自然無法說。"	"Verse by Chan Master Ruman
The Buddha come and gone, dependent on causes and conditions. His Dharmakaya fills the universe and always resides in undeluded minds. As thoughts settle on non-thoughts, he abides in no abode, coming and going for the sake of sentient beings. Within the pure ocean of suchness, his pristine Dharmakaya exists always. The wise should contemplate as such and there is no need for any doubt.

The nature of the Buddha is beyond conditions, we differentiate due to our delusions. The Dharmakaya fills the universe and has neither birth nor death. With the right conditions, the Buddha appears in this world; when the right conditions pass, the Buddha enters parinirvana. He liberates sentient beings everywhere, like the moon in water. Neither permanent nor impermanent; no birth and no death. Lives, yet is never born; enters nirvana, yet has not ceased. When mind sees emptiness, there is no Dharma to speak of."
如沐春風	Bathing in the Spring Breeze
如喪考妣　父母雙亡	"Grief-Stricken; 
As if both parents have passed away."
如是我聞　照樣宣說	"Thus Have I Heard; 
To proclaim what was said."
如湯沃雪　輕而易舉	"Like Melting Snow with Hot Water; 
With no difficulty."
如意安康	As You Wish, Safety, and Health
如意吉祥	Luck and Auspiciousness
如飲醍醐　聞道法喜	"As if Having the Finest Cream; 
Joy from hearing the Dharma. "
如影隨形　善惡業力	"Like Shadows Following the Body; 
The karma of wholesome and unwholesome deeds."
若即若離　貌合神離	"Neither Close nor Distant; 
Appearing united, but divided at heart."
"若能轉悟即如來，
春至山花處處開；
自有一雙慈悲手，
摸得人心一樣平。"	"One who can turn to enlightenment is a tathagata,
Upon spring, mountain flowers bloom everywhere;
Inherent are those compassionate hands,
That reach out and make every heart just as fair. "
"若人欲拿金碧峯，
除非鐵鍊鎖虛空。
虛空若能鎖得住，
再來拿我金碧峯。"	"Capture the Peak of Golden Blue?
First chain down the void of emptiness.
Only when emptiness is ball and chain,
Then seek to capture this Peak of Golden Blue."
弱肉強食　也是無奈	"The Weak are Prey to the Strong; 
Helplessness."
灑灑落落　任運自在	"Easy and Frank; 
Be at perfect ease when following conditions."
三寶放光	The Radiating Triple Gem
三不朽	The Three Imperishables
三德六味　典座美德	"Three Virtues and Six Tastes; 
Virtues of a chef."
三法印	Three Dharma Seals
三跪九叩　中國古禮	"Kneel Three Times, Kowtow Nine Times; 
Ancient Chinese observance of propriety."
三好人家	Three Acts of Goodness Family
三好人生	A Life Lived in the Three Acts of Goodness
三好之家	A Family that Follows the Three Acts of Goodness
三教九流　各項各業	"Three Religions and Nine Schools; 
People from all walks of life."
三界為心	The Three Realms Are All a State of Mind
三界星華	Splendid Stars Within the Three Realms
三覺圓	Perfection of Three Awakenings
三輪體空　物我俱忘	"Emptiness of the Three Aspects of Giving; 
Seeing the object and self as non-substantial."
三摩地	Samadhi
三鳥飛空	Three Birds Flying in the Sky
三鳥飛空　各有遠近	"Three Birds Flying in the Sky; 
Distance is relative."
三千大千　時空無限	"Three Thousand-fold World System; 
Infinite time and space."
三生有幸　宿世好運	"Blessings from the Past Three Lifetimes; 
Good fortune from one's past lives."
"三十年來尋劍客，
幾回落葉又抽枝；
自從一見桃花後，
直至如今更不疑。"	"Ode on Peach Blossom Enlightenment
For thirty years I have searched for a swordsman, 
Many times the leaves have fallen and budded again;
Ever since seeing peach blossoms, 
Until now I have never doubted again."
"三十三天天外天，
九霄雲外有神仙；
神仙本是凡人做，
只怕凡人心不堅。"	"Above the Thirty-Three Heavens
Above the Thirty Three Heavens is yet one higher,
Over the loftiest clouds celestial deities reside;
Since these deities were originally humans,
Could it be that the ordinary minds are uncertain?"
三世十方	Three Periods and the Ten Directions
三世因果　輪迴不止	"Karma of the Three Time Periods; 
Endless cycle of birth and death."
三世有緣　關係無限	"Affinities of Past, Present, and Future; 
Endless connections."
三獸渡河　各有深淺	"Three Animals Crossing the River; 
Depth is relative."
三頭六臂　神通廣大	"Having Three Heads and Six Arms; 
Great supernatural power."
三心已明	Clear Attainment of the Three Minds
三學增上	The Three Learnings
三有均資	Equal Attainment of the Three Kinds of Existence
三月裏的小雨流水不停	Gentle Rain in March: unstopping rain
三災八難　惡業果報	"Three Calamities and Eight Difficulties; 
Unwholesome karmic retribution."
色即是空　有空不二	"Form is Emptiness; 
Non-duality of emptiness and existence."
森羅萬象　包容一切	"Every Myriad Form; 
Able to embrace all."
僧多粥少　供不應求	"Many Monastics, Limited Congee; 
Not enough to go around."
沙裏淘金　事倍功半	"Panning Sand for Gold; 
Twice the effort for half the result."
山不轉水轉峯迴路轉	Turning: twists and turns
山茶花貴氣心內難忘	Camellia: extravagance, unforgettable
"山重重又水重重，
透出重重重見功；
重重妙義重重意，
不管東西南北風。"	"Over mountains, across rivers,
Time and time again, we endure;
Levels of wonder, and layers of meaning,
East, West, North, South, just let the winds blow."
山頂上黑狗兄歌聲誘人	Fine Alpine Milkman: beautiful voices
山歌小放牛農家樂趣	Little Shepherd: joys of farming
山光水色　風景如畫	"Beautiful Mountains and Rivers; 
Picturesque landscapes."
山海慧心	Wisdom Like the Mountain and Ocean
"山居偶成四首（其二）
滾滾紅塵古路長，
不知何事走他鄉；
回頭日望家山遠，
滿目空雲帶夕陽。"	"Four Random Works in Reclusion (2)
In the never-ending turmoil of the chaotic world,
I, without reason, am faraway from where I belong;
Looking back to the mountain which I call home,
Streaks of twilight, empty clouds are what my eyes own."
"山居十三首（其六）
雪老蒼松古，僧閒水石清；
坐來忘百慮，眼見一身輕。"	"Thirteen Poems on Life in the Mountains (6)
Aging snow, green pines,
A free monk, and crystalline creeks;
Sit away the world’s worries,
Look upon a life utterly free."
"山居十三首（其十二）
日月如飛鳥，乾坤似轉丸；
浮生忙裏度，誰向靜中看。"	"Thirteen Poems on Life in the Mountains (12)
The sun and moon like flying birds,
The universe a rotating orb;
A whole life lived in vain,
Who has ever looked into the quietude."
"山居十三首（其十三）
長明一盞燈，夜對心更寂；
多少醉眠人，夢中狂未息。"	"Thirteen Poems on Life in the Mountains (13)
An undying lamp set alight,
The heart of night is made more calm;
Just ponder those drunken minds,
Restless they remain in the dream of night."
"山居十三首（其十一）
獨坐長松下，悠然太古心。
高山流水意，誰復是知音。"	"Thirteen Poems on Life in the Mountains (11)
Beneath a pine tree I sit,
Carefree and timeless is mine heart;
Those flowing hearts of rivers from up high,
Who will come to know that heart of mine?"
"山居十三首（其五）
一枕黃粱夢，千秋汗血功；
秪知常不朽，誰信轉頭空。"	"Thirteen Poems on Life in the Mountains (5)
Within just a dream,
Ageless merit by blood and sweat;
To say that nothing is forever,
Who would believe all is but a dream."
山明水秀	Beautiful Mountains and Clear Water
山水人生	A Life of Mountain and Water
山水人生	The Landscape of Life
"山也空來水也空，
隨緣變現體無窮；
青山綠水依然在，
為人疑忌難相容。"	"Empty are the mountains, also the water,
Everchanging conditions, endless potentials;
Still the green mountains and verdant water,
Only by doubtful minds are they rejected."
善財難捨　吝於布施	"Deep Pockets and Short Arms; 
To give stingily."
善慈覺悟	Pure Compassion and Enlightenment
善惡有報　業報昭然	"Good and Evil Have Their Retributions; 
Karmic retributions manifest as such."
善根增長	Enhance the Root of Wholesomeness
善解佛意	Understand the Buddha's Intentions Correctly
善男信女　佛門弟子	"Good Men and Devout Women; 
Disciples of the Buddha."
善巧方便	Skillful and Expedient Means
善巧方便　權宜利世	"Skillful Means; 
Expedient teachings."
善思	Think Wisely
"善似青松惡似花，
看看眼前不如它；
有朝一日遭霜打，
只見青松不見花。"	"Good is like the pine, and evil the flower,
At one glance the latter may seem lesser;
Until the day when both are slashed by frost,
All that is left is not the flower, but the pine."
善心吉地	A Kind Heart Found With Auspiciousness
善心妙果	A Good Heart Brings Wonderful Effects
善用時間	Use Time Wisely
善有善報　因果不爽	"Good Begets Good; 
Cause and effect at work."
傷風敗俗　道德淪亡	"Transgression of Customs and Traditions; 
Deterioration of morals."
上善若水	The Highest Form of Benevolence is Like Water
上台下台　能上能下	"On Stage or Off Stage; 
Ready to take any position."
上天無路　陷入絕境	"No Path to the Heavens; 
At an impasse."
上無片瓦　極端貧困	"Without a Roof Over One's Head; 
Extreme poverty."
少見多怪　不足為奇	"Amazement Due to Inexperience; 
Not at all surprising."
少欲知足　淡泊名利	"Content with Few Desires; 
Indifferent to fame and fortune."
舌燦蓮華　善於說法	"Silver Tongue; 
Adept in voicing the Dharma."
捨身求法　不惜生命	"Sacrifice Oneself in Pursuit of the Dharma; 
Wholeheartedly devote one's life."
捨身飼虎　生命布施	"Prince Mahasattva's Tale; 
Offering one's life in sacrifice."
捨頭覓頭　荒唐無知	"Seeking What One Unknowingly Has; 
Preposterous ignorance."
捨我其誰	Who Else But Me
